sample,logged_at,pm10,pm25
139,2023-10-25 12:33:18,19.37,11.98
140,2023-10-25 12:35:44,20.32,12.7
141,2023-10-25 12:38:10,21.45,13.09
142,2023-10-25 12:40:36,22.08,12.72
143,2023-10-25 12:43:07,21.78,12.4
144,2023-10-25 12:45:37,20.6,12.71
145,2023-10-25 12:48:04,19.58,12.78
146,2023-10-25 12:50:33,19.27,12.26
147,2023-10-25 12:53:12,19.81,12.4
148,2023-10-25 12:56:00,20.6,12.38
149,2023-10-25 12:58:28,19.42,11.26
150,2023-10-25 13:00:56,18.35,11.89
151,2023-10-25 13:03:24,18.06,11.93
152,2023-10-25 13:08:23,22.85,12.73
153,2023-10-25 13:10:58,19.74,11.86
154,2023-10-25 13:13:26,17.5,11.08
155,2023-10-25 13:16:00,19.26,11.18
156,2023-10-25 13:18:33,21.15,11.62
157,2023-10-25 13:21:06,17.13,10.48
158,2023-10-25 13:26:08,14.25,9.5
159,2023-10-25 13:31:14,15.14,9.74
160,2023-10-25 13:33:43,15.45,9.85
161,2023-10-25 13:36:26,18.8,11.04
162,2023-10-25 13:39:14,20.0,11.6
163,2023-10-25 13:41:46,17.67,11.17
164,2023-10-25 13:44:12,15.71,10.9
165,2023-10-25 13:46:49,13.76,9.81
166,2023-10-25 13:49:19,13.14,9.29
167,2023-10-25 13:51:48,14.75,9.96
168,2023-10-25 13:54:14,15.8,10.22
169,2023-10-25 13:56:40,17.73,9.93
170,2023-10-25 13:59:06,17.45,9.56
171,2023-10-25 14:01:32,16.66,9.71
172,2023-10-25 14:03:58,17.11,10.02
173,2023-10-25 14:06:25,17.35,10.3
174,2023-10-25 14:08:51,16.54,10.35
175,2023-10-25 14:11:18,17.86,10.41
176,2023-10-25 14:13:44,21.24,10.95
177,2023-10-25 14:16:10,20.09,11.23
178,2023-10-25 14:21:11,17.4,10.62
179,2023-10-25 14:23:37,18.92,11.02
180,2023-10-25 14:26:04,20.68,11.24
181,2023-10-25 14:28:30,20.1,11.0
182,2023-10-25 14:31:02,18.58,11.62
183,2023-10-25 14:33:28,21.62,13.0
184,2023-10-25 14:35:54,24.1,13.86
185,2023-10-25 14:38:23,23.82,13.87
186,2023-10-25 14:40:49,23.74,14.02
187,2023-10-25 14:43:16,22.9,13.62
188,2023-10-25 14:45:44,22.79,13.89
189,2023-10-25 14:48:11,20.88,13.33
190,2023-10-25 14:53:09,20.98,12.42
191,2023-10-25 14:55:38,19.77,11.84
192,2023-10-25 14:58:05,19.46,11.93
193,2023-10-25 15:00:31,20.08,11.95
194,2023-10-25 15:02:57,20.03,12.01
195,2023-10-25 15:05:23,19.91,11.72
196,2023-10-25 15:07:49,19.25,10.94
197,2023-10-25 15:10:15,18.75,11.02
198,2023-10-25 15:12:41,18.47,11.49
199,2023-10-25 15:15:08,17.54,11.04
200,2023-10-25 15:17:35,17.64,11.34
201,2023-10-25 15:20:01,17.2,11.32
202,2023-10-25 15:22:27,17.0,10.9
203,2023-10-25 15:24:53,19.4,11.02
204,2023-10-25 15:27:18,18.4,10.66
205,2023-10-25 15:29:44,16.08,10.22
206,2023-10-25 15:32:10,17.51,10.4
207,2023-10-25 15:34:36,18.27,10.91
208,2023-10-25 15:37:03,17.59,11.52
209,2023-10-25 15:39:29,18.72,11.41
210,2023-10-25 15:41:57,18.19,10.75
211,2023-10-25 15:44:23,19.07,10.33
212,2023-10-25 15:46:49,19.2,9.54
213,2023-10-25 15:49:15,16.95,10.18
214,2023-10-25 15:51:43,15.73,10.05
215,2023-10-25 15:54:09,16.32,9.99
216,2023-10-25 15:56:36,20.05,10.29
217,2023-10-25 15:59:02,19.19,10.05
218,2023-10-25 16:01:29,15.81,9.74
219,2023-10-25 16:03:55,16.26,9.62
220,2023-10-25 16:06:21,16.0,9.53
221,2023-10-25 16:08:47,15.44,9.71
222,2023-10-25 16:11:13,15.6,9.68
223,2023-10-25 16:13:40,16.84,10.0
224,2023-10-25 16:16:05,17.88,10.72
225,2023-10-25 16:18:32,18.69,10.73
226,2023-10-25 16:20:58,18.15,10.08
227,2023-10-25 16:23:24,20.19,10.44
228,2023-10-25 16:25:52,20.46,10.92
229,2023-10-25 16:28:18,16.75,10.8
230,2023-10-25 16:30:44,17.15,10.73
231,2023-10-25 16:33:10,16.47,10.63
232,2023-10-25 16:35:38,15.05,10.48
233,2023-10-25 16:38:04,15.28,10.56
234,2023-10-25 16:40:30,16.13,10.52
235,2023-10-25 16:42:55,15.59,9.95
236,2023-10-25 16:45:22,15.94,9.85
237,2023-10-25 16:47:48,16.38,10.12
238,2023-10-25 16:50:14,15.16,9.99
239,2023-10-25 16:52:40,14.8,9.8
240,2023-10-25 16:55:06,16.04,9.93
241,2023-10-25 16:57:32,16.7,10.16
242,2023-10-25 16:59:59,16.79,10.32
243,2023-10-25 17:02:25,17.9,10.58
244,2023-10-25 17:04:51,18.11,10.77
245,2023-10-25 17:07:17,18.18,10.64
246,2023-10-25 17:09:43,17.16,10.23
247,2023-10-25 17:12:09,17.0,10.73
248,2023-10-25 17:14:35,16.88,10.89
249,2023-10-25 17:17:01,16.75,10.4
250,2023-10-25 17:19:26,16.82,10.34
251,2023-10-25 17:21:53,17.52,10.41
252,2023-10-25 17:24:19,18.9,10.49
253,2023-10-25 17:26:45,18.21,10.2
254,2023-10-25 17:29:11,17.79,10.12
